Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/usr/lib/python3.10/http/server.py", line 1307, in <module>
    test(
  File "/usr/lib/python3.10/http/server.py", line 1258, in test
    with ServerClass(addr, HandlerClass) as httpd:
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 1301, in server_bind
    return super().server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/usr/lib/python3.10/http/server.py", line 1307, in <module>
    test(
  File "/usr/lib/python3.10/http/server.py", line 1258, in test
    with ServerClass(addr, HandlerClass) as httpd:
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 1301, in server_bind
    return super().server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/usr/lib/python3.10/http/server.py", line 1307, in <module>
    test(
  File "/usr/lib/python3.10/http/server.py", line 1258, in test
    with ServerClass(addr, HandlerClass) as httpd:
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 1301, in server_bind
    return super().server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [16/Oct/2025 08:21:28] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:22:53] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:22:53] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 08:22:53] "GET /favicon.ico HTTP/1.1" 404 -
35.171.45.91 - - [16/Oct/2025 08:23:43] "GET / HTTP/1.1" 200 -
35.171.45.91 - - [16/Oct/2025 08:24:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2025 08:25:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2025 08:26:11] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:27:58] "GET / HTTP/1.1" 304 -
35.171.45.91 - - [16/Oct/2025 08:28:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2025 08:29:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2025 08:29:12] "GET / HTTP/1.1" 200 -
91.99.219.182 - - [16/Oct/2025 08:29:23] "GET / HTTP/1.1" 200 -
91.99.219.182 - - [16/Oct/2025 08:30:03] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:23] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /bundles/6f661f6f3f18a5415d5a/bundle.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /fonts/Inter/Inter-BoldItalic.57f0f97.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /fonts/Inter/Inter-SemiBoldItalic.17942dd.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /fonts/Inter/Inter-Bold.7824a90.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /fonts/Inter/Inter-SemiBold.d5a91eb.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /fonts/Inter/Inter-MediumItalic.2bbf830.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:24] "GET /fonts/Inter/Inter-Medium.6be58ea.woff2 HTTP/1.1" 200 -
